sentence,label
"This will help 
anchor inflation expectations.",Monetary Policy
"The credibility of the 
Central Bank is highly related to the independence of the Bank.",Monetary Policy
"In this regard, the envisaged enactment of the new Central Bank of Sri Lanka Act will contribute 
immensely to improving the independence and 
credibility of the Central Bank, which in turn will support the current disinflation episode and further strengthen the anchoring of inflation expectations.Figure B 1.4
Global Disinflation Projections
Sources: USA - Monetary Policy Report Mar.",Monetary Policy
"2023; UK - Monetary Policy Report Feb. 2023; 
             Euro area - Eurosystem staff macroeconomic projections Dec. 2022;              India - Monetary Policy Report Sep. 2022; Thailand - Monetary Policy Report Q4 2022024681012
Q1 Q2 Q3 Q4 Q1 Q2 Q3 Q4 Q1 Q2 Q3 Q4
2022 2023 2024Per cent
USA UK Euro area India Thailand
References
1.",Monetary Policy
"Deflation: Making Sure ""it"" Doesn’t Happen Here, Remarks by 
Governor Ben S. Bernanke Before the National Economists Club, Washington, DC November, 21.",Monetary Policy
"2. International Monetary Fund (IMF), (2023).",International Trade
"World Economic Outlook Update Jan 2023: Inflation Peaking amid Low Growth, Washington, DC: International Monetary Fund.",Inflation
The Great Inflation and Early Disinflation in Japan and Germany.,Inflation
"International Journal of Central Banking, 3(4), 23-76.",Monetary Policy
"Globalization and Global Disinflation, Federal Reserve Bank of Kansas City 
conference on Monetary Policy and Uncertainty: Adapting to a Changing Economy.",Monetary Policy
"Accordingly, year-on-year core inflation, 
based on the CCPI (2013=100), was recorded at 47.7 per cent by December 2022, compared to 8.3 per cent recorded at end 2021.",Inflation
"The NCPI (2013=100) based core inflation also accelerated 
to 57.5 per cent, year-on-year, by December 
2022, in comparison to 10.8 in December 2021.",Inflation
"Similar to headline inflation, core inflation also continued to trend downwards during early 2023.",Inflation
"Accordingly, the CCPI (2021=100) based  
year-on-year core inflation decreased to  
39.1 per cent by March 2023, while the NCPI (2021=100) based year-on-year core inflation decreased to 50.1 per cent by February 2023.",Inflation
"This continued reduction in core inflation was attributed to the strong policy measures taken by the Central Bank to address the build-up of demand driven inflationary pressures and adverse inflation 
expectations.",Monetary Policy
"Meanwhile, inflation expectations, 
which remained at elevated levels during the inflation acceleration period up to September 2022, broadly followed a downward trend during 
the disinflation period.",Inflation
"External Sector developments
Sri lanka’s external sector met with severe 
bOP stresses in 2022 amidst constrained 
foreign financial inflows, depleted gross official 
reserves, and overshooting of the exchange 
rate, necessitating a myriad of policy measures to avoid further aggravation of the situation and restore external balance.",Unclassified
"The Government 
sought assistance from the IMF for a funding arrangement and announced a debt standstill as an interim measure, pending negotiations on debt restructuring with bilateral and commercial creditors during early 2022.",Unclassified
"The Government and the Central Bank initiated measures to limit foreign exchange 
outflows, while taking initiatives to promote inflows.",Exchange Rates
"Import demand was reduced notably, reflecting the 
impact of significantly tightened monetary policy and subdued demand conditions.",Monetary Policy
"A series of import prioritisation measures was initiated, while continuing 
the existing restrictive measures.",International Trade
"These restrictions 
included temporary suspensions and imposition of licensing and margin deposit requirements on selected imports.",International Trade
"Also, restrictions on selected import payment methods were imposed with a view to discouraging grey market activities.",International Trade
"Limitations on 
certain foreign exchange outflows of capital nature 
were also continued.",Monetary Policy
"Further, workers’ remittances through official channels were encouraged through cash based and non-cash based targeted incentives for migrant workers.",International Trade
"The large depreciation of the 
exchange rate, restrictions on imports under certain 
payment terms, such as open account terms, and subdued demand for imports led to a correction in the large spread between the official exchange rate and rates offered in the informal market.",Exchange Rates
"This further 
encouraged remittances through formal channels.",Unclassified
"A 
significant reduction in the trade deficit was observed in the second half of 2022 as import expenditure declined and export earnings remained resilient.",International Trade
"The surplus in the services account increased to 
some extent due to the increase in earnings from tourism.",Inflation
"However, all other sectors in the services account, including air and sea freight, transportation, 
and services inflows to the Information Technology 
and Business Process Outsourcing (IT/BPO) sector remained significantly subdued compared to the previous year.",International Trade
"The secondary income account 
surplus reduced in 2022 despite the significant 
improvement in workers’ remittances towards the second half of 2022, while the primary income account deficit, compiled on an accrual basis, 
marginally moderated during the year compared to 
the previous year.",International Trade
"With these developments, the 14
CENTRAL BANK OF SRI LANKA  | ANNUAL REPORT 2022
1current account deficit narrowed to 1.9 per cent of 
GDP in 2022, from 3.7 per cent of GDP in 2021.",International Trade
"Despite net foreign investment inflows into the 
Colombo Stock Exchange (CSE) (including primary market purchases) and the government securities 
market, inflows to the financial account remained 
modest due to the decline in foreign inflows to the Government.",International Trade
"Meanwhile, gross official reserves 
declined to US dollars 1.9 billion as at end 2022, in comparison to US dollars 3.1 billion recorded in 
the previous year.",International Trade
"However, this included the swap facility from the People’s Bank of China equivalent to 
around US dollars 1.4 billion as at end 2022, which 
is subject to the conditionalities on its usability.",International Trade
"The Central Bank absorbed US dollars 2.1 billion from the domestic foreign exchange market during 2022, 
mainly from mandatory sales by licensed banks, 
while supplying US dollars 2.7 billion mainly to meet 
foreign exchange required for importing essential 
commodities, such as fuel, coal, cooking gas, etc.",Monetary Policy
"The Central Bank played a major role in managing foreign exchange to ensure the supply of essential 
goods and services under extremely challenging 
circumstances during 2022.",Monetary Policy
"Meanwhile, total external debt of the country amounted to US dollars 49.7 
billion as at end 2022, compared to US dollars 51.8 
billion recorded as at end 2021, reflecting the impact of lack of access to foreign funding sources and large 
valuation changes in commercial debt.",International Trade
"Despite the 
notable increase in the outstanding foreign loans of the Government, the total external debt of the Government remained at similar levels due to the 
reduction in the outstanding value of ISBs issued by 
the Government that were valued at market prices.",International Trade
"The Government obtained a number of emergency 
credit facilities for the importation of essential goods, 
including fuel, medicine and fertiliser, from regional 
countries in the form of bilateral loans, resulting in 
significant foreign loan disbursements during 2022.",Inflation
"The temporary suspension of debt servicing to bilateral and commercial creditors provided some 
respite in terms of lesser foreign loan repayments.",Fiscal Policy
"The 
significant shortage in liquidity in the domestic foreign 
exchange market exerted pressures on the exchange rate, necessitating a measured adjustment in the exchange rate in early March 2022 by the Monetary Board.",Fiscal Policy
"However, market speculation resulted in an overshooting of the exchange rate subsequently.",Exchange Rates
"Accordingly, the Sri Lanka rupee depreciated substantially by 41.4 per cent against the US dollar by end April 2022.",Exchange Rates
"From mid-May 2022, with the aim of curbing any significant intraday volatility due to excessive speculation, the Central Bank commenced offering market guidance by publishing a middle rate and a variation margin applicable to the interbank weighted average spot exchange rate.",Exchange Rates
"This measure was effective in stabilising the exchange rate since then, helping to mitigate the adverse macroeconomic implications of excessive depreciation and volatility of the currency.",Exchange Rates
"Reflecting these developments, the Nominal Effective Exchange Rate (NEER) and Real Effective Exchange Rate (REER) indices, which measure the movement of the Sri Lanka rupee against a basket of currencies and thus the external competitiveness, declined notably in 2022.",Exchange Rates
"Overall, the REER indices declined substantially below the threshold of 100 index points, signalling that the exchange rate remained sufficiently competitive for international trade.",Exchange Rates
"Figure 1.6
Balance of Payments
Source: Central Bank of Sri LankaTrade Balance Current Account Balance Overall Balance-10.3-8.0-6.0
-8.1-5.2-2.8-1.8-1.2
-3.3-1.5 -1.10.4
-2.3
-4.0-2.8
-12-10-8-6-4-202
2018 2019 2020 2021 2022US$ billion",Unclassified
"15
ECONOMIC, PRICE AND FINANCIAL SYSTEM STABILITY, OUTLOOK AND POLICIES
1Sri lanka secured imF Executive board 
approval for the EFF arrangement of Sdr  
2,286 million (approximately uS dollars 
3,000 million) in march 2023, and the first 
tranche of Sdr 254 million (approximately uS 
dollars 333 million) was disbursed under the 
programme in late march 2023.",International Trade
"Following the 
staff level agreement reached with the IMF for the 
EFF supported programme in September 2022, Sri Lanka commenced a dialogue with bilateral creditors to secure financing assurances, while engaging with commercial creditors in good faith negotiations.",Fiscal Policy
"Further, Sri Lanka initiated measures to complete all prior actions needed to secure the approval of the IMF Executive Board.",Fiscal Policy
"Towards the finalisation of the IMF-EFF arrangement, several favourable developments were initiated from early 2023.",Fiscal Policy
"With a view to encouraging activity in the domestic forex 
market and restoring a market driven exchange 
rate in line with the flexible inflation targeting framework of the Central Bank, the Central Bank commenced a gradual relaxation of the daily variation band, while also loosening the mandatory sales requirement by licensed banks, before completely removing this requirement from early March 2023.",International Trade
"Foreign exchange market liquidity conditions started to improve from early 2023, supported by foreign currency inflows to the services sector, workers’ remittances and 
financial flows to portfolio investment, and return 
of market confidence following the finalisation of 
the IMF-EFF arrangement.",Exchange Rates
"Reflecting the impact of improving foreign exchange market conditions, the exchange rate showed a large appreciation bias during early March 2023, correcting the 
exchange rate overshooting witnessed in early 
2022 and helping the build-up of official reserves through the intervention of the Central Bank in the 
market, with sizeable purchases.",Exchange Rates
"With the funding 
assistance under the IMF-EFF arrangement and the purchases of foreign exchange from the market, gross official reserves strengthened to 
about US dollars 2.7 billion by end March 2023, 
and the Sri Lanka rupee appreciated against the US dollar by 10.9 per cent by end March 
2023, reflecting the improved market sentiments.",Exchange Rates
"Reflecting the greater flexibility that was allowed in the determination of the exchange rate, the 
Sri Lanka rupee showed some volatility from late 
March 2023.",Exchange Rates
"The funds disbursed under the EFF 
arrangement are proposed to constitute budget 
support, with a view to helping the domestic 
financing needs of the Government.",Fiscal Policy
"However, proceeds so received will also help cushion BOP 
constraints due to their availability for the repayment 
of foreign currency obligations of the Government that are not subject to debt restructuring, which 
would otherwise have been made from the Central 
Bank’s reserves, and possible strengthening of official reserves that could facilitate financing 
essential imports.Net Absorption End-month Exchange Rate (Right Axis)Figure 1.7
Exchange Rate and Central Bank Intervention 
in the Domestic Foreign Exchange Market
Source: Central Bank of Sri Lanka
Rs./US$US$ million
140160180200220240260280300320340360380
-600-500-400-300-200-1000100200300400500
Dec-19
Mar-20
Jun-20
Sep-20
Dec-20
Mar-21
Jun-21
Sep-21
Dec-21
Mar-22
Jun-22
Sep-22
Dec-22
Mar-23",Monetary Policy
"16
CENTRAL BANK OF SRI LANKA  | ANNUAL REPORT 2022
1Introduction
The Sri Lankan economy has been experiencing 
frequent incidences of vulnerabilities and instability 
conditions instilled by structural macroeconomic problems coupled with global and domestic shocks.",Unclassified
"The conditions weakened drastically since 2020 with 
the onset of the pandemic, along with ad-hoc policy 
changes that exacerbated stresses in the economy.",Unclassified
"As a result, the country experienced severe Balance 
of Payments (BOP) distress and subsequently multiple crises in 2022.",GDP Growth
Several policy interventions were rolled out since early 2022 to guide the economy towards greater stability.,Fiscal Policy
"Seeking financial assistance 
subject to macroeconomic stabilisation and related 
commencement of debt restructuring efforts to restore 
public debt sustainability are key steps that have been 
taken towards this journey.",Fiscal Policy
"Before 2022, Sri Lanka had entered into numerous International Monetary Fund (IMF) programmes from time to time for various 
purposes including supporting the BOP and the 
Government’s reform agenda.",Monetary Policy
"However, unlike on 
previous occasions, Sri Lanka initiated discussions with 
the IMF in early 2022 for an Extended Fund Facility (EFF) arrangement under the direst economic conditions.",Monetary Policy
"The success of policy interventions was constrained by debt 
overhang as well as persistently large fiscal and BOP 
financing needs.",Fiscal Policy
"Amidst continuous downgrades in sovereign ratings, Sri Lanka was cut off from avenues 
for external financing, making new fundraising and 
servicing existing loans extremely challenging.",International Trade
"Usable reserves depleted to near zero levels, the exchange 
rate depreciated at an unprecedented scale, access to 
fuel, electricity and other essential imported items by the public was limited, general price levels escalated to new heights with demand pressures and supply 
shortages, financial system stability was under threat, 
and social and political clashes were recurring in early 2022.",Exchange Rates
"Against this backdrop, the need for economic 
stabilisation with external assistance was required and 
the Sri Lankan authorities initiated discussions with the IMF.",Monetary Policy
"Continuous engagements over a year with the IMF staff team on the finalisation of the proposed economic 
and financial policies and successful completion of 
prescribed prior actions under the programme and the receipt of financial assurances from the official 
creditors enabled the approval of an EFF in late March 
2023.",Monetary Policy
"Salient features of this economic adjustment programme, expected developments under the EFF 
arrangement, the country’s commitment to the reforms 
in the ensuing period, and necessity of continuing this programme over four years are discussed briefly in the 
following sections.",Fiscal Policy
"Programme Objectives and Modalities of the 
IMF-EFF
The current IMF-EFF arrangement spans 48 months with 
the total disbursement amounting to SDR 2.286 billion (about US dollars 3 billion) to be utilised for budget BOX 2
Sri Lanka’s Economic Adjustment Programme Supported by an Extended Fund Facility 
Arrangement of the International Monetary Fund
support for the Government.",Fiscal Policy
"However, the proceeds 
under the EFF would also help cushion the BOP by supplementing the Gross Official Reserves (GOR).",Monetary Policy
"The 
disbursement will be equally divided into nine tranches 
subject to semi-annual reviews and subsequent Executive Board approvals.",Monetary Policy
The first tranche was received in March 2023 immediately following Board approval.,Monetary Policy
"The 
programme aims at restoring macroeconomic stability at 
large.",Unclassified
"This overall economic stability is designed to be achieved through building strong pillars on critical areas 
of restoring debt sustainability, advancing revenue based 
fiscal consolidation, restoring price stability and building external buffers, ensuring financial stability, reducing corruption vulnerabilities, and raising potential growth.",Fiscal Policy
"Prior Actions and Structural Benchmarks
Since the commencement of negotiations for the IMF-EFF  
arrangement in early 2022, Sri Lanka has completed 
nine prior actions by March 2023 and has formulated a 
mechanism for meeting the structural benchmarks.",Fiscal Policy
The completion of these prior actions was instrumental in paving the way for broader reforms to be implemented in the next four years under the EFF.,Fiscal Policy
"The prior actions 
that have been already completed by Sri Lanka include, 
obtaining Cabinet approval for revenue measures to support fiscal consolidation during 2023 in line with 
programme parameters, obtaining Parliamentary approval 
for a revised 2022 budget, submission of the 2023 Appropriation Bill to the Parliament, obtaining Cabinet approval to automate monthly retail fuel price adjustment, 
to automate semi-annual cost-recovery based electricity 
price adjustment, Cabinet approval of the new Central Bank Act, Cabinet approval for the amendments to the Banking Act, strengthening key elements of the Central Bank’s crisis management powers, hiring an independent firm to 
conduct banking sector diagnostic exercise, and increasing 
policy interest rates by 100 basis points to ensure forward looking real policy interest rates are on a firm upward path.",Fiscal Policy
"In addition to the above, three important upfront 
measures were also implemented which include 
Parliamentary approval of the 2023 budget that was in line with programme parameters, Parliamentary approval of necessary legislative revisions to implement the 2023 revenue measures, and updating the 
Emergency Liquidity Assistance framework for banks.",Fiscal Policy
"Further, Sri Lanka is required to implement several structural benchmarks related to fiscal matters, State Owned Enterprises (SOEs), social safety net reforms, 
and monetary and exchange rate policies and reforms 
related to fiscal sector and governance in the period ahead, as detailed in Figure B 2.1.",Fiscal Policy
"Monitoring of Programme Progress 
Performance of the EFF arrangement will be monitored in terms of a comprehensive mechanism that comprises Quantitative Performance Criteria (QPCs), Continuous 
Performance Criteria (CPC) related to external arrears 
and Article VIII obligations, Indicative Targets (ITs), and",Monetary Policy
"17
ECONOMIC, PRICE AND FINANCIAL SYSTEM STABILITY, OUTLOOK AND POLICIES
1
Figure B 2.1
Structural Benchmarks under the IMF-EFF Arrangement
Financial Sector
Monetary and Exchange Rate Policies
Governance
Source: IMF .",Monetary Policy
"Sri Lanka: R equest for an Extended Arrangement Under the EFF - P ress R elease, Staff R eport, and Statement by the Executive Director for Sri L anka.Continuous
End-May 2023 End-June 2023ContinuousSet retail fuel prices to their cost-recovery 
levels with monthly formula-based
adjustments
Parliamentary approval of the  welfare benefit 
payment scheme and new eligibility criteria for 
beneficiary identificationAdjust the end-user electricity tariff schedule to its 
cost-recovery level with semi-annual 
formula-based adjustments
End-July 2023 End-Sep. 2023Cabinet approval of revenue measures to support 
fiscal consolidation during 2024, in line with 
programme parametersCompletion of the rollout of the ITMIS , expanding 
its coverage to all 220 heads (national bu dget 
execution agencies)
End-Apr.",Fiscal Policy
"2023 End-June 2023Completion of the asset quality review component 
of the bank diagnostic exercise for the two largest  
state banks and the three largest private sector banksCabinet approval of a full revision of the Banking 
Act in consultation with IMF staffCabinet approval of a comprehensive strategy to 
restructure the balance sheets of the CEB , CPC, 
SriLankan Airlines, and the R oad Development 
Authority
End-Oct. 2023 End-Dec. 2023Parliament submission for the first reading of 
the 2024 Appropriation, in line with programme 
parametersParliamentary approval of the 2024 Appropriation 
Act and the spending allocations, in line with programme parameters
End-July 2023 End-Oct. 2023Development by the CBSL of a roadmap for 
addressing banking system capital and FX 
liquidity shortfalls and interv ening in banks 
assessed to be non-viableDetermination by the MOF of the size, timing , 
instruments, and terms and conditions for potential government recapitalisatio n of viable 
banks which are unable to close capital shortfalls from private sources
End-June 2023 End-Sep. 2023Enact new anti- corruption legislation to 
harmonise it with the United Nations 
Convention Against Corruption, pending 
comprehensive asset recovery provisions, in 
consultation with IMF staffPublication of the report of an IMF -led 
governance diagnostic technical assistance mission to assess Sri L anka's anti- corruption 
frameworkEnd-Dec. 2023 End-Dec. 2023Parliament submission of a new
Public Financial Management (PFM) la w,
in consultation with IMF staff
End-Dec. 20 23Parliamentary approval of a full revision of the Banking Act 
in consultation with IMF staffImprove the Bulk Supply T ransaction Account 
(BSTA) to accurately measure the electricity subsidy , 
and start using it to determine the cost -recovery based 
electricity tariff and government transfer requirement
End-Apr.",Fiscal Policy
"2023Parliamentary approval of the new C entral Bank 
Act prepared in consultation with IMF staffFiscal, SOE, and Social Safety Net Reforms",Monetary Policy
"18
CENTRAL BANK OF SRI LANKA  | ANNUAL REPORT 2022
1the monetary policy consultation clause.",Fiscal Policy
"The QPCs that 
Sri Lanka is expected to achieve are the requirement to generate a primary surplus in the Government’s budget, improve the gross official reserve levels by building net international reserves, and gradually phase out Net Credit to the Government by the Central 
Bank.",Monetary Policy
"A CPC applies to the non-accumulation of new 
external payments arrears on external debt which will 
be monitored continuously by the authorities and 
any non-observance will be immediately reported 
to the IMF.",Monetary Policy
"In addition, another QPC includes the 
prohibition of imposing or intensifying restrictions 
on the making of payments and transfers for current international transactions, introducing or modifying multiple currency practices, concluding bilateral payment agreements that are inconsistent with Article VIII of the IMF’s Articles of Agreement, and imposing or intensifying import restrictions for BOP purposes.",Monetary Policy
"A monetary policy consultation clause (MPCC) has also 
been included to monitor year-on-year inflation on 
specified target dates to ensure that Sri Lanka is moving 
on a steady disinflation path to reach the targeted 
level to restore price stability.",Monetary Policy
"Further, ITs have been 
specified mainly on central government tax revenue, social safety net spending, cost of non-commercial 
obligations for fuel and electricity as well as on treasury 
guarantees.",Fiscal Policy
"More importantly, in order to ensure the achievement of objectives envisaged in attaining debt 
sustainability, the progress on the debt restructuring will be assessed at each programme review, with a view to completing debt restructuring within a reasonable time 
frame.",Fiscal Policy
"The QPCs and ITs pertaining to the programme 
are detailed in Figure B 2.2.",Fiscal Policy
"External Financing Gap and Financing Sources
The programme is expected to trigger additional financing assistance with budget support from the 
World Bank and the Asian Development Bank of US dollars 3.75 billion, of which US dollars 900 million 
is expected in 2023.",International Trade
"It is also expected that with 
the recovery in the economy and buildup of buffers,  
Sri Lanka would be able to access international markets to raise funds in terms of sovereign bond issues in 
2027.",International Trade
"These resources, together with external public 
debt service relief, will close the external financing gap 
and allow Sri Lanka to rebuild its gross international 
reserves.",International Trade
"Figure B 2.2
Sri Lanka: Proposed Qua ntitative Performance Criter ia (QP Cs), Co ntinuous Performance Criter ia (CP C), and Indicative T argets (I Ts)
 (Cumulative from the beginni ng of the year, unless ot herwise noted)
Source: IMF .",Monetary Policy
"Sri Lanka: R equest for an Extended Arrangement Under the EFF - P ress R elease, Staff R eport, and Statement by the Executive Director for Sri L anka
end -Dec.
Actual
end-Mar.",Fiscal Policy
"bn
Program net official international reserves 
(Program NIR, floor, end of period stock)US$ mn
Net credit to the government of the CBSL 
(ceiling, end of period stock)Rs.",Monetary Policy
"bn
Stock of expenditure arrears of the central 
government (ceiling)Rs.",Monetary Policy
"bn2022 2023
0 0 0 0New external payment arrears by the nonfinancial 
public sector and the CBSL (ceiling)US$ mn 0Proposed continuous perfo rmance criteria 
(cumulative from beginni ng of the programme)
142
-35
0
1,70070
1,700120
1,7001,751 650 1,300 2,100
1,1590 0187
1,7002,940Proposed indicative targets
Central government tax r evenue (floor ) Rs.",Fiscal Policy
"bn
Social spendi ng by  the cen tral governmen t 
(floor )Rs.",Fiscal Policy
"bn
Cost of non-commer cial obligati ons (NCOs) 
for fuel and electrici ty (net of  governmen t 
transfers) (ceiling)Rs.",Fiscal Policy
"bn Treasury gu arantees  (ceiling)-895
-3,540
2,834
60-56
-3,188
2,890
30-113
-2,830
2,890
0-160
-2,068
2,840
0-209
-1,592
2,740
0",Fiscal Policy
"19
ECONOMIC, PRICE AND FINANCIAL SYSTEM STABILITY, OUTLOOK AND POLICIES
1Expected Developments under the IMF-EFF 
Arrangement
Some of the key expected outcomes of the IMF-EFF 
arrangement are as follows: 
•	Achieving debt sustainability: To achieve debt 
sustainability, Sri Lanka needs to achieve specific 
debt financing and debt servicing related targets.",Fiscal Policy
"Further, the debt restructuring process will be guided by quantitative targets developed under the IMF 
Sovereign Risk and Debt Sustainability Framework 
(SRDSF) in order to ensure debt reduction, manage rollover risks, avoid a renewed buildup of external pressures from debt service needs, and ensure that 
financing gaps during the programme period are closed.",Fiscal Policy
"Meeting these requirements would ensure 
Sri Lanka’s public debt returning to sustainable levels in the eyes of creditors and the international community, thus easing difficulties and risk premia attached to Sri Lanka’s future borrowings.",Fiscal Policy
"The debt sustainability targets as per the Debt 
Sustainability Analysis (DSA) carried out by the IMF 
that needs to be achieved by Sri Lanka through the debt restructuring process are as follows:
 - Debt stock: Public debt to decline below  
95 per cent of GDP by 2032.",Fiscal Policy
,Inflation
"•	Improved fiscal performance and discipline:  
With the emphasis given in the programme on the fiscal front and the relevant structural benchmarks, it is expected that the Government will persist with its fiscal consolidation efforts to meet the fiscal 
targets through revenue enhancement measures 
and rationalisation of expenditure further.",Fiscal Policy
"With constrained access to monetisation of deficits going forward, the Government is expected to make required adjustments during the available Figure B 2.3
Proposed Monetary Policy Co nsultation Clause
Year-o n-Year Inflation Based on the C CPI
Source: IMF .",Monetary Policy
"Sri Lanka: R equest for an Extended Arrangement Under 
the EFF - Press R elease, Staff R eport, and Statement by the Executive 
Director for Sri L anka.10203040506070
end - Dec. 2022
Actualend-Mar.2023
ITend-Jun.",Fiscal Policy
"Sri Lanka: R equest for an Extended Arrangement Under the EFF - P ress R elease, Staff R eport, and Statement by the Executive Director for Sri L anka.2022 2023 2024 2025 2026 2027 Total 
2022-27
-2,834
2,834
0
0
2,834
0
1,898
1,473-4,939
4,939
663
900
250
650
0
3,376
0
0
4,431
1,400-4,843
665
850
400
450
0
3,328
0
0
6,128
1,5425,018
663
700
400
300
0
3,655
0
0
8,520
1,585-3,608
3,608
662
700
400
300
0
2,246
0
0
10,888
1,633-3,911
3,911
329
600
300
300
0
1,482
1,500
0
14,208
1,682-25,153
25,153
2,982
3,750
1,750
2,000
0
2,834
14,087
1,500Financi ng Gap (A)
IFI budget su pport
World Bank
OtherADB
Debt moratorium: External arrears IMF EFFProgramme  Financi ng (B)
Debt relief
Sovereign bond (market access) 
Shortfall (A+B)
Project loansGross International ReservesaccumulationUS Dollars million
-5,018
4,843",Fiscal Policy
"20
CENTRAL BANK OF SRI LANKA  | ANNUAL REPORT 2022
1transitory period to ensure that such requirements 
would not arise.",Monetary Policy
"In the meantime, unwarranted 
leakages from the fiscal revenue are addressed 
through the envisaged broad-based programme 
for SOEs.",Fiscal Policy
"•	Legislative changes for enhanced governance 
and accountability framework: New pieces of legislation, such as the proposed Central Bank Act, Banking Act, and other revisions to existing 
legislations are expected to strengthen the 
institutional and regulatory framework relating to the economic management of the country.",Unclassified
"A new anti-corruption law is to be introduced harmonising the United Nations Convention against Corruption, 
the first such law in South Asia, providing for 
the creation of an independent Anti-Corruption Commission.",Unclassified
"A new Public Financial Management (PFM) law will be enacted to streamline the budget 
formulation process and to enhance accountability 
mechanism in public finance.",Unclassified
"•	Reforming social safety nets: Despite an increase in social safety nets related spending and beneficiaries in recent years, it has been identified that there is significant scope for improvement regarding the coverage and selection.",Unclassified
"Considering 
the issues prevailing in the existing social safety 
nets framework, the IMF-EFF arrangement has specified certain institutional reforms to improve efficiency, coverage, and targeting of social safety nets programmes.",Unclassified
"•	Restoring price stability:  The Central Bank is 
expected to restore price stability by driving inflation in a steady disinflation path to bring it back to the targeted range under the Flexible Inflation Targeting (FIT) framework through appropriate monetary policy actions.",Unclassified
"As a part of this process, monetary financing to the Government is expected to be phased out.",Monetary Policy
"The 
price stability commitment also entails maintaining 
more flexibility in the exchange rate and rebuilding reserves to withstand future shocks.",Monetary Policy
"•	Strengthening financial institutions and financial system stability: The IMF is of the view that Sri Lanka’s financial system is heavily exposed to 
the public sector, moderately capitalised, and could 
face material capital and forex shortfalls following a debt restructuring.",Unclassified
"Consequently, there is a possibility that banks could face significant capital 
and forex shortfalls as a result of a sovereign debt 
restructuring.",Unclassified
"Therefore, plans are under way for the capital restoration of systemic banks following asset quality reviews to strengthen the resilience of 
the state owned banks.",Unclassified
"Meanwhile, financial sector 
supervision and the crisis management framework 
will be strengthened to make Sri Lanka’s financial 
system more robust.",Unclassified
"In addition to these specific benefits, the IMF supported programme would bring several positive spillovers to the economy through improved investor confidence, 
possible sovereign rating upgrades, and reopening 
of access to markets, among others.",Unclassified
"Considering the challenging nature of the targets set out, the authorities will have to put in a lot of effort and show 
commitment to ensuring the successful completion of the programme throughout the programme period.",Unclassified
"Also, in view of the maintenance of political and social 
stability during the programme period, especially 
considering the possible initial unpopularity of the reform measures and consequent public dissent, public awareness of how initial sacrifices would lead to long term economic benefits needs to be created.",GDP Growth
"Reforms Agenda Beyond the IMF-EFF 
Arrangement
The success of the IMF-EFF arrangement will largely 
rest on the extent to which the long neglected structural reforms are implemented.",GDP Growth
"The structural reforms are anticipated to boost the competitiveness 
of the economy, provide a foundation for productivity 
enhancement, increase the efficiency in resource utilisation, and thereby enhance the growth potential.",GDP Growth
"The severity of the current economic crisis faced by Sri Lanka highlights the importance of addressing the longstanding structural issues in a sustainable 
manner beyond the reforms agenda in the IMF 
programme through national policies which are formulated in consultation with stakeholders and free from political influences with vested interests.",Unclassified
"In this regard, the reforms agenda should focus on improving the productivity and output of the economy through 
technological innovations and increased economic 
connectivity to the world over trade and investment, by enhancing diversity in merchandise exports and potential services export sectors including tourism, IT/BPO sectors, and attracting FDI.",International Trade
"It is also necessary to strengthen legal frameworks to ensure public accountability of state institutions, exercising available 
legal powers in policy formulation and implementation 
by relevant authorities to ensure lasting economic welfare in the country.",Fiscal Policy
These would complement the reforms agenda in the IMF-EFF arrangement to ensure that Sri Lanka attains and sustains macroeconomic stability in the earliest possible timeframe.,Monetary Policy
"Conclusion
Despite being part of sixteen programmes since the first in 1965, only a few IMF programmes in Sri Lanka have been successfully implemented by authorities.",GDP Growth
"This has been mainly due to the lack of commitment to meeting 
the conditionalities attached to such programmes, 
especially those related to structural reforms, which required painful macroeconomic adjustments and unpopular policies that were aimed at long term welfare enhancements.",Unclassified
"Therefore, it is imperative that Sri Lanka internalises these reforms in its policy formulation and implements the major areas of reforms in the current IMF programme as well as reforms beyond the programme 
to help the economy transform into greater stability and 
a higher growth path at the earliest while circumventing the need for repeated access to IMF bailouts and several rounds of debt restructuring in the future.",Fiscal Policy
"Reference
1. International Monetary Fund.",Monetary Policy
"Sri Lanka: Request for an Extended Arrangement Under 
the EFF - Press Release; Staff Report; and Statement by the Executive Director for Sri Lanka.",Monetary Policy
"116. International Monetary Fund, Washington D.C.",Monetary Policy
"21
ECONOMIC, PRICE AND FINANCIAL SYSTEM STABILITY, OUTLOOK AND POLICIES
1Fiscal Sector developments  
The Government initiated major fiscal 
reforms to address fiscal sector vulnerabilities, 
while taking measures to restructure public debt aimed at ensuring debt sustainability over the medium term.",Fiscal Policy
"The budgetary estimates 
presented in the Budget 2022 were proved 
unachievable, due to low revenue collection during the first half of 2022 and expenditure overruns owing to high domestic interest rates and inflation.",Fiscal Policy
"The Government implemented an array of fiscal consolidation measures since April 2022 and obtained Parliamentary approval for an Interim Budget 2022 in September 2022, aimed at strengthening revenue enhancement measures and fiscal consolidation efforts.",Fiscal Policy
"Supported by the revenue enhancement measures implemented in 2022 and the elevated price level in the economy, government revenue recorded a year-on-year growth of 35.8 per cent to Rs.",GDP Growth
"1,979.2 billion in 2022.",GDP Growth
